Title,Description,Genre
Bread & Fred,"Grab your best bud for help in this new co-op challenge to help two adorable penguins, Bread and Fred, reach the top of the snowy summit. Time your jumps, cling to walls and swing across gaps to see how far you can make it before you tumble all the way back down the mountain.","['Action', 'Adventure', 'Casual', 'Indie']"
Birds Aren't Real,A short story-driven psychological horror game. No visual jumpscares; only mentally disturbing.,"['Adventure', 'Indie']"
Liberte,"Liberté is a deck-builder roguelite inspired by the French Revolution and body horror. Brave the war-torn streets as Rene - a regular Parisian entangled in a civil war caused by a cryptic invader from another dimension, Lady Bliss. Collect cards, nurture alliances, and try to stay alive!","['Action', 'Indie', 'RPG']"
Medved Hellraiser,You are the only one who can restore order to the world! Arm yourself and stop this madness using your shooting potential.,"['Action', 'Adventure', 'Indie']"
Cosmic Overdrive,"Cosmic Overdrive brings fast-paced rounds of a VR sci-fi runner that prioritizes comfort, immersion and engagement. Physically maneuver your spacecraft with interactive machinery. Fly cautiously to survive, but not so cautiously that the portal closes before you can make it through.","['Action', 'Casual', 'Racing']"
Kingmaker Academy: Warrior's Duels,"Dear warriors of the Kingmaker Academy! Face your talented colleagues in challenging duels at our school’s most important tournament! Improve your skills with each duel, become the king of warriors and rule the school. But beware, remember it’s a roguelike! You dont want to be eliminated, do you?!","['Indie', 'RPG', 'Strategy']"
HeliVR Simulator,"With intuitive controls, effortlessly take off and master helicopter flying, saving yourself countless hours of practice. So, put on your headset, get comfortable, and enjoy the seamless experience!","['Adventure', 'Simulation']"
Lord of the Click: Interstellar Wars,"Let’s do it once more, people! New chapter of the critically acclaimed Lord of the Click series is finally here. And it's tetralogy now meaning we’re done with the trilogy thing and up for something bigger. Interstellar Wars take the neverending conflict to a whole new level — in space!","['Adventure', 'Strategy']"
Triad Ball,"In NeoFuturistTown, anarchy reigns. The underworld barons have taken control and are fighting for territory. To put an end to these confrontations, a brilliant inventor proposed to settle the conflicts by triad matches. A sport created by this man of science.","['Free to Play', 'Sports']"
Mr.T Survival,"Mr.T Survival is a survival game set in the wild jungle of nature. Players take on the role of Mr.T, a backpacker on his travel journey who encounters an accident that leaves him stranded on a remote and unfamiliar island. Gather resources to craft items and structures that match your survival style","['Adventure', 'Indie', 'Simulation', 'Early Access']"
Annie and the AI,"Step into the role of Esme, an AI built by Annie but built for what purpose? Evolve and learn by solving visual puzzles accompanied by beautiful hand-drawn artwork. Learn all about Annie's life, befriend her, and grow together.","['Casual', 'Indie']"
The Mage,Casual 2D puzzle platformer game that will transport you to a world of magic. Play as a powerful mage on a quest to save his King from a dark and malevolent force that threatens to destroy everything in its path.,"['Adventure', 'Casual', 'Indie']"
Glitch Busters: Stuck On You,"It’s a normal day on the net, until a virus outbreak turns everything upside-down. Only your squad of GLITCH BUSTERS can take on the net’s kookiest bugs in an online world gone haywire in this 1-4 player co-op 3rd person shooter.",['Action']
Dawn vs Dusk,An over the shoulder arena battle multiplayer game. Battle as either the Dawn or Dusk teams for supremacy of the arena by holding capture points with your team mates. Last team standing at 20 minutes wins the game!,"['Action', 'Casual', 'Free to Play', 'Indie', 'Early Access']"
Prime Directive,"Prime Directive is a first person 3D action-adventure shooter in which players control Marty, a small but brave robot. Marty acquires unique abilities to fight enemies and solve puzzles while exploring a mysterious alien world.","['Action', 'Adventure', 'Indie', 'Simulation']"
Dizzy Rogues,"Dizzy Rogues is an auto-runner roguelike with ""turn"" based combat. Bounce your weapon off enemies and objects, rack up your combo, and purchase unique items.","['Action', 'Indie']"
Ketamina,"""Ketamine"" is a First-Person game in which you need to uncover why you woke up without any memory in an apparently unremarkable apartment, until you discover the secrets of the resident and consider whether you really want to stay or leave.",['Indie']
Future Racer 2000,Only You Can Be The Future Racer 2000,"['Adventure', 'Indie']"
Zone VX,"Upgrade, fight, and survive against an unrelenting enemy onslaught in this adrenaline-fueled vehicle combat roguelike. How long can you stay alive?","['Action', 'Casual', 'Indie']"
Caveman Ransom,A fun 16-bit style platformer where you play a caveman fighting against bandits and dinosaurs. It is perfect for carefree gaming and a must for kids as well as for those who want to experience that 1990s nostalgia!,"['Action', 'Adventure', 'Casual', 'Indie']"
The Last Survivors,"Kill the zombies and take on challenges by helping the last survivors in the city. The Last Survivors is a fun roguelite action game with an infinite power-up experience that is repeatable every time you play. Never stop, collect as much XP and Boosters to get stronger by choosing your upgrades.","['Action', 'Early Access']"
Wild Frontier,"Escape to an enchanting, living sandbox surrounded by wildlife and nature.","['Action', 'Adventure', 'Early Access']"
Trans Neuronica,LINK nodes; UNTANGLE paths; REBUILD memory; ASSESS humans; A puzzle where logic goes hand in hand with surgical precision and humans ask artificial intelligence for help. But only if you trust them enough.,"['Casual', 'Indie', 'Strategy', 'Early Access']"
Animal Kostume,"No talk, compadre. It's Animal Kostume time! Follow kroc-boy in his path to overcome a series of difficult levels in this hardcore 2D platformer with a lot of enemies, bullets and surprises.","['Action', 'Indie']"
Inkbound,"Inkbound reinvents turn-based gameplay in a fluid online-only co-op roguelike from the creators of Monster Train. Play solo or party up to dive into the magical, dangerous books of the Atheneum Library and fight to save this rich, ever-expanding world.","['RPG', 'Strategy', 'Early Access']"
Regenesis,Guide a group of survivors trying to strive in this alien yet familiar environment. Fight against mutated creatures and use their parts to craft and upgrade your weapons.,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
Cruel Reality: A horrible dream,"Horrible Dream - first of the Cruel Reality trilogy, a visual novel with elements of psychological horror.","['Adventure', 'Casual', 'Indie']"
Survival: Lost Way,Survival: Lost Way - is a sandbox game survival in an open post-apocalyptic world.,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation']"
Flying Carpets Over Shark Infested Waters,"Combat and survival. Escape from the Death Maze and from Rat Island. Defeat the pirates in aerial combat, while sharks swim below. Board the pirate ship and steal their gold. Everyone and everything is out to get you. Get them first. In the final scene find and terminate your nemesis. The parrots.","['Action', 'Adventure']"
Gun Knight All Day,"Gun Knight All Day is a close quarters bullet hell dungeon crawler about a knight who uses guns. Shoot, dodge, and scavenge your way through the procedurally generated dungeons one room at a time. Challenging boss fights test the sharpness of your skills and the lethality of your weapons.","['Action', 'Adventure']"
