Title,Description,Genre,Processed_Description
Scarlet Hollow,Return to the crumbling coal town your family built generations ago for the funeral of your aunt. You won't be able to save everyone. You might not even be able to save yourself.,"['Adventure', 'Casual', 'Indie', 'RPG', 'Early Access']",return crumbling coal town family built generation ago funeral aunt wo n't able save everyone might even able save
Frog Detective 3: Corruption at Cowboy County,"You're a detective, and a frog, and it's time to solve a mystery in the wild west.","['Adventure', 'Casual', 'Indie']",'re detective frog 's time solve mystery wild west
Flowers -Le volume sur ete-,"Summer has arrived early to Saint Angraecum Academy, and with it comes change. Follow the story of Erika in the second game in the Flowers series.",['Casual'],summer arrived early saint angraecum academy come change follow story erika second game flower series
Dialtown: Phone Dating Sim,"If you've ever wanted to romantically pursue a phone, then hot DARN, do I have just the game for you.","['Casual', 'Indie']",'ve ever wanted romantically pursue phone hot darn game
ARMORED HEAD,"ARMORED HEAD is a miniature shooter, where all the action takes place in one arena. The main character is a gladiator who fights against his opponents in pursuit of the grand prize.","['Action', 'Adventure', 'Indie']",armored head miniature shooter action take place one arena main character gladiator fight opponent pursuit grand prize
It Steals,AROUND EVERY CORNER. Face against stealthy antagonists that will take advantage of your expectations.,"['Action', 'Indie']",around every corner face stealthy antagonist take advantage expectation
Your Turn To Die -Death Game By Majority-,"Your Turn To Die -Death Game By Majority- is a multi-ending horror adventure game. Sara Chidouin returns home from school late one night to discover that something's gone terribly wrong. When she comes to, she finds herself, her friend Joe, and 9 other people trapped in a mysterious place.","['Adventure', 'Indie', 'Early Access']",turn die -death game majority- multi-ending horror adventure game sara chidouin return home school late one night discover something 's gone terribly wrong come find friend joe 9 people trapped mysterious place
Aokana - Four Rhythms Across the Blue - EXTRA2,Aokana - EXTRA2 is the official Misaki after story for Aokana.,"['Adventure', 'Casual', 'Sports']",aokana extra2 official misaki story aokana
The Upturned,A frantic adventure. Welcome to the Upturned Inn: a grand hotel for the dead! You just want to find your room.,"['Action', 'Adventure', 'Indie']",frantic adventure welcome upturned inn grand hotel dead want find room
Super Lesbian Animal RPG,"Melody has decided to become a healer in this classic-inspired turn-based RPG about love, anxiety, and fighting funny-looking monsters in dungeons.","['Indie', 'RPG']",melody decided become healer classic-inspired turn-based rpg love anxiety fighting funny-looking monster dungeon
Flowers -Le volume sur automne-,"As the summer heat fades, Suoh Shirahane is just one step away from unraveling the mystery of why her beloved Amitie partner left in the spring.","['Adventure', 'Casual']",summer heat fade suoh shirahane one step away unraveling mystery beloved amitie partner left spring
Stardew Valley,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?","['Indie', 'RPG', 'Simulation']",'ve inherited grandfather 's old farm plot stardew valley armed hand-me-down tool coin set begin new life learn live land turn overgrown field thriving home
Portal 2,"The ""Perpetual Testing Initiative"" has been expanded to allow you to design co-op puzzles for you and your friends!","['Action', 'Adventure']",`` perpetual testing initiative '' expanded allow design co-op puzzle friend
Hades,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.","['Action', 'Indie', 'RPG']",defy god dead hack slash underworld rogue-like dungeon crawler creator bastion transistor pyre
Vampire Survivors,"Mow down thousands of night creatures and survive until dawn! Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you.","['Action', 'Casual', 'Indie', 'RPG']",mow thousand night creature survive dawn vampire survivor gothic horror casual game rogue-lite element choice allow quickly snowball hundred monster get thrown
People Playground,"Shoot, stab, burn, poison, tear, vaporise, or crush ragdolls in a large open space.","['Action', 'Casual', 'Indie', 'Simulation']",shoot stab burn poison tear vaporise crush ragdolls large open space
RimWorld,"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.","['Indie', 'Simulation', 'Strategy']",sci-fi colony sim driven intelligent ai storyteller generates story simulating psychology ecology gunplay melee combat climate biome diplomacy interpersonal relationship art medicine trade
Portal,"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",['Action'],portal™ new single player game valve set mysterious aperture science laboratory portal called one innovative new game horizon offer gamers hour unique gameplay
Totally Accurate Battle Simulator,"Be the leader of wobblers from ancient lands, spooky places, and fantasy worlds. Watch them fight in simulations made with the wobbliest physics system ever created, make your own wobblers in the unit creator and send your army off to fight your friends in multiplayer.","['Indie', 'Simulation', 'Strategy']",leader wobbler ancient land spooky place fantasy world watch fight simulation made wobbliest physic system ever created make wobbler unit creator send army fight friend multiplayer
Half-Life: Alyx,"Half-Life: Alyx is Valve’s VR return to the Half-Life series. It’s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity’s only chance for survival.","['Action', 'Adventure']",half-life alyx valve ’ vr return half-life series ’ story impossible fight vicious alien race known combine set event half-life half-life 2. playing alyx vance humanity ’ chance survival
ULTRAKILL,ULTRAKILL is a fast-paced ultraviolent retro FPS combining the skill-based style scoring from character action games with unadulterated carnage inspired by the best shooters of the '90s. Rip apart your foes with varied destructive weapons and shower in their blood to regain your health.,"['Action', 'Indie', 'Early Access']",ultrakill fast-paced ultraviolent retro fps combining skill-based style scoring character action game unadulterated carnage inspired best shooter '90s rip apart foe varied destructive weapon shower blood regain health
Katana ZERO,"Katana ZERO is a stylish neo-noir, action-platformer featuring breakneck action and instant-death combat. Slash, dash, and manipulate time to unravel your past in a beautifully brutal acrobatic display.","['Action', 'Indie']",katana zero stylish neo-noir action-platformer featuring breakneck action instant-death combat slash dash manipulate time unravel past beautifully brutal acrobatic display
A Hat in Time,A Hat in Time is a cute-as-heck 3D platformer featuring a little girl who stitches hats for wicked powers! Freely explore giant worlds and recover Time Pieces to travel to new heights!,"['Adventure', 'Indie']",hat time cute-as-heck 3d platformer featuring little girl stitch hat wicked power freely explore giant world recover time piece travel new height
The Henry Stickmin Collection,A choose-your-own-path where failing is more fun than succeeding.,"['Adventure', 'Casual', 'Indie']",choose-your-own-path failing fun succeeding
OneShot,OneShot is a surreal top down Puzzle/Adventure game with unique gameplay capabilities. You are to guide a child through a mysterious world on a mission to restore its long-dead sun. The world knows you exist.,"['Adventure', 'Casual', 'Indie']",oneshot surreal top puzzle/adventure game unique gameplay capability guide child mysterious world mission restore long-dead sun world know exist
Firework,"An accidental fire at a funeral forces the police to re-investigate a closed case of massacre. Lin Lixun participates the re-investigation by chances. As the investigation goes deeper, the past of the victims gradually emerges. However, the case becomes more bewildering.",['Indie'],accidental fire funeral force police re-investigate closed case massacre lin lixun participates re-investigation chance investigation go deeper past victim gradually emerges however case becomes bewildering
Pizza Tower,"Pizza Tower is a fast paced 2D platformer inspired by the Wario Land series, with an emphasis on movement, exploration and score attack. Featuring highly stylized pixel art inspired by the cartoons from the '90s, and a highly energetic soundtrack.","['Action', 'Indie']",pizza tower fast paced 2d platformer inspired wario land series emphasis movement exploration score attack featuring highly stylized pixel art inspired cartoon '90s highly energetic soundtrack
Rhythm Doctor,"Save patients with your rhythm mastery! Rhythm Doctor is a rhythm game where you heal patients by defibrillating in time to their heartbeats. Learn each patient's unique heartbeat and defeat boss viruses trying to sabotage your rhythm, all set to heart-pumping, soul-soothing music.","['Indie', 'Early Access']",save patient rhythm mastery rhythm doctor rhythm game heal patient defibrillating time heartbeat learn patient 's unique heartbeat defeat bos virus trying sabotage rhythm set heart-pumping soul-soothing music
Pineapple on pizza,Can a video game convey a flavor?,"['Casual', 'Free to Play', 'Indie']",video game convey flavor
Baba Is You,"Baba Is You is a puzzle game where the rules you have to follow are present as blocks you can interact with. By manipulating them, you can change how the game works, repurpose things you find in the levels and cause surprising interactions!",['Indie'],baba puzzle game rule follow present block interact manipulating change game work repurpose thing find level cause surprising interaction
The Murder of Sonic the Hedgehog,Sonic the Hedgehog...was murdered!? Get to the bottom of the mystery in this brand-new adventure!,"['Casual', 'Free to Play', 'Indie', 'Simulation']",sonic hedgehog ... murdered get bottom mystery brand-new adventure
Finding Paradise,A story-driven experience about two doctors traversing backwards through a dying man's memories to fulfill his last wish.,"['Adventure', 'Indie', 'RPG']",story-driven experience two doctor traversing backwards dying man 's memory fulfill last wish
One Finger Death Punch,"Experience cinematic kung-fu battles in the fastest, most intense brawler the indie world has ever seen! With the unique 1:1 response system of One Finger Death Punch, players will feel the immediate feedback of every bone-crunching hit. Pay tribute to the masters using five classic kung-fu styles mixed with additional weapons.","['Action', 'Casual', 'Indie']",experience cinematic kung-fu battle fastest intense brawler indie world ever seen unique 1:1 response system one finger death punch player feel immediate feedback every bone-crunching hit pay tribute master using five classic kung-fu style mixed additional weapon
The Room 4: Old Sins,"The disappearance of an ambitious engineer and his high-society wife provokes a hunt for a precious artefact. The trail leads you to the attic of their home, and the discovery of an old, peculiar dollhouse. What secrets lie within these walls?",['Adventure'],disappearance ambitious engineer high-society wife provokes hunt precious artefact trail lead attic home discovery old peculiar dollhouse secret lie within wall
Grimm's Hollow,"A spooky, freeware RPG where you search the afterlife for your brother. Reap ghosts with your scythe, explore haunted caves, and eat ghostly treats on your journey through death.","['Adventure', 'Free to Play', 'Indie', 'RPG']",spooky freeware rpg search afterlife brother reap ghost scythe explore haunted cave eat ghostly treat journey death
VTOL VR,"VTOL VR is a near-futuristic combat flight game built for Virtual Reality. Pilot advanced multi-role jets, using your hands to flip switches, press buttons, and manipulate the virtual flight controls.","['Action', 'Indie', 'Simulation']",vtol vr near-futuristic combat flight game built virtual reality pilot advanced multi-role jet using hand flip switch press button manipulate virtual flight control
ATRI -My Dear Moments-,"""As the world sank, I found you."" In the near future, a sudden and unexplained sea rise has left much of human civilization underwater. In a little town slowly being enveloped by the ocean, an unforgettable summer is about to begin for a boy and a mysterious robot girl...","['Adventure', 'Casual']",`` world sank found '' near future sudden unexplained sea rise left much human civilization underwater little town slowly enveloped ocean unforgettable summer begin boy mysterious robot girl ...
Tiny Bunny,"Tiny Bunny is a non-linear horror visual novel. Those, who have heard the voice of the forest, are beyond help.","['Adventure', 'Indie', 'Early Access']",tiny bunny non-linear horror visual novel heard voice forest beyond help
Neon White,Neon White is a single-player speedrunning FPS where you can sacrifice your guns for godlike parkour moves.,"['Action', 'Adventure', 'Indie']",neon white single-player speedrunning fps sacrifice gun godlike parkour move
Our Life: Beginnings & Always,"A twenty-dollar bill, four summers, fifteen years, and a one of a kind life. Create an experience that’s all your own in this near-fully customizable visual novel where you grow from childhood to adulthood with the lonely boy next door.","['Casual', 'Free to Play', 'Indie']",twenty-dollar bill four summer fifteen year one kind life create experience ’ near-fully customizable visual novel grow childhood adulthood lonely boy next door
Crab Champions,Claw your way across exotic islands combining fluid movement with fast paced combat to become a Crab Champion in this third person shooter with roguelike elements.,"['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'Strategy', 'Early Access']",claw way across exotic island combining fluid movement fast paced combat become crab champion third person shooter roguelike element
Placid Plastic Duck Simulator,"The ultimate high-tech rubber duck simulation, Placid Plastic Duck brings you dangerous levels of relaxation. With chill music, dreamy 3D graphics, and many different happy ducks, your only priority is to float around. Zero Ducks given.","['Casual', 'Simulation']",ultimate high-tech rubber duck simulation placid plastic duck brings dangerous level relaxation chill music dreamy 3d graphic many different happy duck priority float around zero duck given
Kind Words (lo fi chill beats to write to),A game about writing nice letters to real people. Write and receive encouraging letters in a cozy room. Trade stickers and listen to chill music. We're all in this together. Sometimes all you need are a few kind words.,"['Casual', 'Indie']",game writing nice letter real people write receive encouraging letter cozy room trade sticker listen chill music 're together sometimes need kind word
CLANNAD,"From the world renowned visual novel studio Key, the highly rated story of CLANNAD is now available on Steam! Improved visuals, achievement integration, and Dangopedia make this the best version of CLANNAD to date.","['Adventure', 'Casual']",world renowned visual novel studio key highly rated story clannad available steam improved visuals achievement integration dangopedia make best version clannad date
Trombone Champ,"Honk, blow, & toot your way through over 35 songs, collect all 50 unique Tromboner Cards, and uncover the mysteries of the Trombiverse. Do you have what it takes to become the true Trombone Champ?","['Casual', 'Indie']",honk blow toot way 35 song collect 50 unique tromboner card uncover mystery trombiverse take become true trombone champ
SuchArt: Creative Space,"Paint on any surfaces with numerous tools in Creative Space — a free sandbox version of SuchArt: Genius Artist Simulator. Create masterpieces, complete commissions, and decorate your studio in the most advanced artist sim!","['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation']",paint surface numerous tool creative space — free sandbox version suchart genius artist simulator create masterpiece complete commission decorate studio advanced artist sim
Wobbledogs,"A 3D pet simulation where you raise your own personal hive of mutating dogs, physically simulated all the way down to their guts! Wobbledogs is a casual and chill sandbox for players of all ages who want to care for their very own virtual pets in a surprising, unique, and stress-free environment.","['Casual', 'Indie', 'Simulation']",3d pet simulation raise personal hive mutating dog physically simulated way gut wobbledogs casual chill sandbox player age want care virtual pet surprising unique stress-free environment
Gravitas,Gravitas is a short first-person puzzle platforming game that transports you to the Gallery of Refined Gravity. Manipulate gravity and the gallery itself to prove yourself a pupil worthy of the Curator’s masterwork.,"['Action', 'Adventure', 'Free to Play', 'Indie']",gravitas short first-person puzzle platforming game transport gallery refined gravity manipulate gravity gallery prove pupil worthy curator ’ masterwork
The Test: Final Revelation,The third chapter in The Test Trilogy. Answer a series of in-depth questions to reveal hidden truths about yourself and unlock secrets to discover who you really are as a person. The Final Revelation is upon us... but are you sure you TRULY want the answers you seek?,"['RPG', 'Simulation']",third chapter test trilogy answer series in-depth question reveal hidden truth unlock secret discover really person final revelation upon u ... sure truly want answer seek
100 hidden frogs,The frogs hid. Can you find them?,"['Adventure', 'Casual', 'Free to Play', 'Indie']",frog hid find
Epic Battle Fantasy 5,"A turn-based RPG adventure, full of video game references, juvenile dialogue, and anime fanservice... and also strategic combat, monster catching, and tons of treasure hunting! Updated with tons of new content!","['Adventure', 'RPG', 'Strategy']",turn-based rpg adventure full video game reference juvenile dialogue anime fanservice ... also strategic combat monster catching ton treasure hunting updated ton new content
The Case of the Golden Idol,"A new kind of detective game that allows you to think and investigate freely. Discover clues surrounding 12 strange and gruesome deaths and build your own theory. Pick your suspect, deduce the motive, unmask the awful truth.","['Adventure', 'Indie']",new kind detective game allows think investigate freely discover clue surrounding 12 strange gruesome death build theory pick suspect deduce motive unmask awful truth
The Supper,"The Supper is a short adventure game about the darkest side of the human soul. Ms. Appleton was always a wellspring of kindness, until The Voice started talking to her.","['Adventure', 'Casual', 'Free to Play', 'Indie']",supper short adventure game darkest side human soul ms. appleton always wellspring kindness voice started talking
Kindergarten 2,"Welcome to Kindergarten 2, which takes place on Tuesday! After the events of Monday, you'll find yourself in a new school with new friends...and new ways to get ruthlessly murdered.","['Adventure', 'Indie']",welcome kindergarten 2 take place tuesday event monday 'll find new school new friend ... new way get ruthlessly murdered
Aokana - Four Rhythms Across the Blue,"In a world where flying through the sky is as simple as riding a bicycle, the sport ""Flying Circus"" is all the rage. Following the discovery of anti-gravitons, special shoes that allow an individual to fly, Anti-Graviton Shoes, took the world by storm.","['Adventure', 'Casual']",world flying sky simple riding bicycle sport `` flying circus '' rage following discovery anti-gravitons special shoe allow individual fly anti-graviton shoe took world storm
Riddle Joker,"For decades, superpowers and psychic abilities were thought to be mere science fiction, but the discovery of a certain particle called the ""Astron"" at the end of the 20th century proved to the world that these wondrous phenomena were real.","['Adventure', 'Casual']",decade superpower psychic ability thought mere science fiction discovery certain particle called `` astron '' end 20th century proved world wondrous phenomenon real
Purrgatory,"A slice-of-death visual novel about making friends, cracking cat puns, and waiting for eternity to pass.","['Adventure', 'Casual', 'Free to Play', 'Indie']",slice-of-death visual novel making friend cracking cat pun waiting eternity pas
Cats Organized Neatly,In this 2D puzzle game you have the responsibility to arrange your feline friends in a way that fits the grid. Cats Organized Neatly comes with 80 different handcrafted levels and a whole bunch of cats in all shapes and sizes.,"['Casual', 'Indie']",2d puzzle game responsibility arrange feline friend way fit grid cat organized neatly come 80 different handcrafted level whole bunch cat shape size
Lost in Play,"Go on adventures and solve puzzles on this feel-good journey with a brother and sister as they explore dreamscapes and befriend magical creatures. Lost in their imagination, Toto and Gal must stick together and solve puzzles to find their way home.","['Adventure', 'Indie']",go adventure solve puzzle feel-good journey brother sister explore dreamscapes befriend magical creature lost imagination toto gal must stick together solve puzzle find way home
Epic Battle Fantasy 4,"A light-hearted turn-based RPG, heavily inspired by old 2D classics. You will battle through waves of cute enemies, grow your characters, read cringey dialogue, explore a diverse world, solve puzzles, and of course, save the world. (Recently updated to version 2!)","['Adventure', 'RPG']",light-hearted turn-based rpg heavily inspired old 2d classic battle wave cute enemy grow character read cringey dialogue explore diverse world solve puzzle course save world recently updated version 2
A Building Full of Cats,A Building Full of Cats is a hidden object game where you need to pet all the cats in the building. Don't leave any cats behind!,['Casual'],building full cat hidden object game need pet cat building n't leave cat behind
TY the Tasmanian Tiger,"G'day, Mate. Explore the wilds of Australia with TY the Tasmanian Tiger, the charming Aussie platformer.","['Action', 'Adventure', 'Indie']",g'day mate explore wild australia ty tasmanian tiger charming aussie platformer
Summer Pockets,"From the creators of Angel Beats! and CLANNAD, Key, comes their latest emotional, award-winning journey. Follow protagonist Takahara Hairi as he travels to the secluded island Torishirojima, where he rediscovers what it means to enjoy summer vacation.","['Adventure', 'Casual']",creator angel beat clannad key come latest emotional award-winning journey follow protagonist takahara hairi travel secluded island torishirojima rediscovers mean enjoy summer vacation
Walkabout Mini Golf VR,"Escape into a fun and beautiful world filled with the best mini golf courses you’ve ever seen! Play by yourself, meet someone new, or challenge your friends in a private game with up to 8 people. Extremely realistic physics create the perfect experience for hardcore golfers and casual players alike.","['Casual', 'Indie', 'Sports']",escape fun beautiful world filled best mini golf course ’ ever seen play meet someone new challenge friend private game 8 people extremely realistic physic create perfect experience hardcore golfer casual player alike
planetarian HD,"planetarian HD is an engaging and emotional visual novel from legendary game studio, Key. A sub-brand of VISUAL ARTS, Key are also famed for creating Kanon, AIR, CLANNAD, Little Busters!, Rewrite, Angel Beats!, and Summer Pockets.","['Adventure', 'Casual', 'Simulation']",planetarian hd engaging emotional visual novel legendary game studio key sub-brand visual art key also famed creating kanon air clannad little buster rewrite angel beat summer pocket
A Space for the Unbound,"A magical adventure about two high school sweethearts set at the end of their school days - and the end of the world. Explore a crumbling town and help friends face their inner demons, which could be the key to stopping reality itself disintegrating. And don’t forget to pet the cats.","['Adventure', 'Indie']",magical adventure two high school sweetheart set end school day end world explore crumbling town help friend face inner demon could key stopping reality disintegrating ’ forget pet cat
Milo and the Magpies,"Milo and the Magpies is a point-and-click, hidden object game following the story of a little cat named Milo who is trying to find his way home after getting turned around by an unfortunate encounter with some pesky magpies.","['Adventure', 'Indie']",milo magpie point-and-click hidden object game following story little cat named milo trying find way home getting turned around unfortunate encounter pesky magpie
Will You Snail?,"A unique platformer where an evil AI predicts your movement. Dodge AI-spawned traps, solve optional puzzles and uncover the dark secrets of the simulation.","['Action', 'Adventure', 'Indie']",unique platformer evil ai predicts movement dodge ai-spawned trap solve optional puzzle uncover dark secret simulation
I commissioned some bees 0,Play for free! I paid artists to hide bees in 10 pieces of artwork. Can you find them all? Warning: Relaxing.,"['Casual', 'Free to Play', 'Indie']",play free paid artist hide bee 10 piece artwork find warning relaxing
Sabbat of the Witch,"Hoshina Shuuji has a secret: He has a mysterious power that allows him to perceive the emotions of others. However, he is soon to find out that he is not the only one who has something he doesn't want others to find out about as Ayachi Nene, a classmate, likewise has a secret.","['Adventure', 'Casual', 'Simulation']",hoshina shuuji secret mysterious power allows perceive emotion others however soon find one something n't want others find ayachi nene classmate likewise secret
Sucker for Love: First Date,Put the 'love' in 'Lovecraftian horror'! Perform terrifying rituals to win the affections of eldritch horrors and smooch 'em... at any cost!,"['Indie', 'RPG', 'Simulation']",put 'love 'lovecraftian horror perform terrifying ritual win affection eldritch horror smooch 'em ... cost
pureya,A different game every 10 seconds!,"['Action', 'Casual', 'Indie']",different game every 10 second
Café Stella and the Reaper's Butterflies,"Takamine Kousei was living a carefree college life until, one day, he tragically died in an accident. But then, the bizarre happened: Takamine Kousei opened his eyes again. And what's more, when he woke up, it was the morning of the very day, he had died.","['Adventure', 'Casual']",takamine kousei living carefree college life one day tragically died accident bizarre happened takamine kousei opened eye 's woke morning day died
Monument Valley: Panoramic Edition,"Embark on a journey of forgiveness through impossible environments and illusionary puzzles. Experience this meditative and calming puzzle game by manipulating monuments and creating evolving paths to explore new, surreal, and mysterious worlds.","['Adventure', 'Casual', 'Indie', 'Strategy']",embark journey forgiveness impossible environment illusionary puzzle experience meditative calming puzzle game manipulating monument creating evolving path explore new surreal mysterious world
Epiphyllum in Love,"Final chapter of the trilogy. In a world where memory can be controlled, everyone is selling their souls. ""I"" have left everything behind, except the girl named Yin who still remains in my mind. At the end of my life, should I die with a beautiful fantasy, or go in search of sad memories of her?","['Adventure', 'Casual', 'Indie']",final chapter trilogy world memory controlled everyone selling soul `` '' left everything behind except girl named yin still remains mind end life die beautiful fantasy go search sad memory
Bloody Hell,"A short but sweet game about an Angel on a Bloody Bullet-hell mission to kill Satan! Dash, Double Dash, Grapple & Blast your way through Hell to fulfill your Holy Mission. Will you be able to kill Satan? Or will you fail to master your abilities and DIE in this BLOODY HELL?","['Action', 'Adventure', 'Free to Play', 'Indie']",short sweet game angel bloody bullet-hell mission kill satan dash double dash grapple blast way hell fulfill holy mission able kill satan fail master ability die bloody hell
Smile For Me,"A heartbroken clown, wayward souls, and juicy mechanical lips. As “The Big Event"" draws near, help the troubled residents of the Habitat and de-mask the mysterious Doctor Habit... before it's too late.","['Adventure', 'Casual', 'Indie']",heartbroken clown wayward soul juicy mechanical lip “ big event '' draw near help troubled resident habitat de-mask mysterious doctor habit ... 's late
Sakuya Izayoi Gives You Advice And Dabs,Feel relaxed into this mental vacation as Sakuya Izayoi from the Touhou Project guides you through your troubles by offering helpful advice and strategies to help you feel at ease.,['Casual'],feel relaxed mental vacation sakuya izayoi touhou project guide trouble offering helpful advice strategy help feel ease
Voidigo,Voidigo is a chaotic and colorful roguelite shooter with a focus on dynamic and unique boss fights. Equip the many weapons and powerups to fight back the void corruption throughout the worlds. Hunt or be hunted.,"['Action', 'Adventure', 'Indie', 'Early Access']",voidigo chaotic colorful roguelite shooter focus dynamic unique bos fight equip many weapon powerups fight back void corruption throughout world hunt hunted
Chop Goblins,"Pursue the malevolent Chop Goblins through time, and foil them with devastating weapons, in this bite-sized FPS from the creator of DUSK, Iron Lung, and Squirrel Stapler","['Action', 'Indie']",pursue malevolent chop goblin time foil devastating weapon bite-sized fps creator dusk iron lung squirrel stapler
Hello Charlotte EP3: Childhood's End,"""All ended well.There was nothing to grieve about."" A farewell, and a greeting.","['Indie', 'RPG']",`` ended well.there nothing grieve '' farewell greeting
I MAED A GAM3 W1TH Z0MB1ES 1N IT!!!1,A top down twin stick zombie slaying shooter that you are sure to play again and again!,"['Action', 'Casual', 'Free to Play', 'Indie']",top twin stick zombie slaying shooter sure play
Don't Escape: 4 Days to Survive,Survive through four days at the end of the world in this post-apocalyptic point-and-click thriller where your choices could keep you alive... or not.,"['Adventure', 'Indie']",survive four day end world post-apocalyptic point-and-click thriller choice could keep alive ...
A Space For The Unbound - Prologue,"Prologue chapter of A Space For The Unbound, an upcoming slice-of-life adventure game with beautiful pixelart set in the late 90s rural Indonesia that tells a story about overcoming anxiety, depression, and the relationship between a boy and a girl with supernatural powers","['Adventure', 'Indie']",prologue chapter space unbound upcoming slice-of-life adventure game beautiful pixelart set late 90 rural indonesia tell story overcoming anxiety depression relationship boy girl supernatural power
Beacon Pines,"Beacon Pines is a cute and creepy adventure set within a mysterious book. Sneak out late, make new friends, uncover hidden truths, and collect words that will change the course of fate!","['Adventure', 'Casual', 'Indie']",beacon pine cute creepy adventure set within mysterious book sneak late make new friend uncover hidden truth collect word change course fate
