Title,Description,Genre
Lost in Play,"Go on adventures and solve puzzles on this feel-good journey with a brother and sister as they explore dreamscapes and befriend magical creatures. Lost in their imagination, Toto and Gal must stick together and solve puzzles to find their way home.","['Adventure', 'Indie']"
Epic Battle Fantasy 4,"A light-hearted turn-based RPG, heavily inspired by old 2D classics. You will battle through waves of cute enemies, grow your characters, read cringey dialogue, explore a diverse world, solve puzzles, and of course, save the world. (Recently updated to version 2!)","['Adventure', 'RPG']"
A Building Full of Cats,A Building Full of Cats is a hidden object game where you need to pet all the cats in the building. Don't leave any cats behind!,['Casual']
TY the Tasmanian Tiger,"G'day, Mate. Explore the wilds of Australia with TY the Tasmanian Tiger, the charming Aussie platformer.","['Action', 'Adventure', 'Indie']"
Summer Pockets,"From the creators of Angel Beats! and CLANNAD, Key, comes their latest emotional, award-winning journey. Follow protagonist Takahara Hairi as he travels to the secluded island Torishirojima, where he rediscovers what it means to enjoy summer vacation.","['Adventure', 'Casual']"
Walkabout Mini Golf VR,"Escape into a fun and beautiful world filled with the best mini golf courses you’ve ever seen! Play by yourself, meet someone new, or challenge your friends in a private game with up to 8 people. Extremely realistic physics create the perfect experience for hardcore golfers and casual players alike.","['Casual', 'Indie', 'Sports']"
planetarian HD,"planetarian HD is an engaging and emotional visual novel from legendary game studio, Key. A sub-brand of VISUAL ARTS, Key are also famed for creating Kanon, AIR, CLANNAD, Little Busters!, Rewrite, Angel Beats!, and Summer Pockets.","['Adventure', 'Casual', 'Simulation']"
A Space for the Unbound,"A magical adventure about two high school sweethearts set at the end of their school days - and the end of the world. Explore a crumbling town and help friends face their inner demons, which could be the key to stopping reality itself disintegrating. And don’t forget to pet the cats.","['Adventure', 'Indie']"
Milo and the Magpies,"Milo and the Magpies is a point-and-click, hidden object game following the story of a little cat named Milo who is trying to find his way home after getting turned around by an unfortunate encounter with some pesky magpies.","['Adventure', 'Indie']"
Will You Snail?,"A unique platformer where an evil AI predicts your movement. Dodge AI-spawned traps, solve optional puzzles and uncover the dark secrets of the simulation.","['Action', 'Adventure', 'Indie']"
I commissioned some bees 0,Play for free! I paid artists to hide bees in 10 pieces of artwork. Can you find them all? Warning: Relaxing.,"['Casual', 'Free to Play', 'Indie']"
Sabbat of the Witch,"Hoshina Shuuji has a secret: He has a mysterious power that allows him to perceive the emotions of others. However, he is soon to find out that he is not the only one who has something he doesn't want others to find out about as Ayachi Nene, a classmate, likewise has a secret.","['Adventure', 'Casual', 'Simulation']"
Sucker for Love: First Date,Put the 'love' in 'Lovecraftian horror'! Perform terrifying rituals to win the affections of eldritch horrors and smooch 'em... at any cost!,"['Indie', 'RPG', 'Simulation']"
pureya,A different game every 10 seconds!,"['Action', 'Casual', 'Indie']"
Café Stella and the Reaper's Butterflies,"Takamine Kousei was living a carefree college life until, one day, he tragically died in an accident. But then, the bizarre happened: Takamine Kousei opened his eyes again. And what's more, when he woke up, it was the morning of the very day, he had died.","['Adventure', 'Casual']"
Monument Valley: Panoramic Edition,"Embark on a journey of forgiveness through impossible environments and illusionary puzzles. Experience this meditative and calming puzzle game by manipulating monuments and creating evolving paths to explore new, surreal, and mysterious worlds.","['Adventure', 'Casual', 'Indie', 'Strategy']"
Epiphyllum in Love,"Final chapter of the trilogy. In a world where memory can be controlled, everyone is selling their souls. ""I"" have left everything behind, except the girl named Yin who still remains in my mind. At the end of my life, should I die with a beautiful fantasy, or go in search of sad memories of her?","['Adventure', 'Casual', 'Indie']"
Bloody Hell,"A short but sweet game about an Angel on a Bloody Bullet-hell mission to kill Satan! Dash, Double Dash, Grapple & Blast your way through Hell to fulfill your Holy Mission. Will you be able to kill Satan? Or will you fail to master your abilities and DIE in this BLOODY HELL?","['Action', 'Adventure', 'Free to Play', 'Indie']"
Smile For Me,"A heartbroken clown, wayward souls, and juicy mechanical lips. As “The Big Event"" draws near, help the troubled residents of the Habitat and de-mask the mysterious Doctor Habit... before it's too late.","['Adventure', 'Casual', 'Indie']"
Sakuya Izayoi Gives You Advice And Dabs,Feel relaxed into this mental vacation as Sakuya Izayoi from the Touhou Project guides you through your troubles by offering helpful advice and strategies to help you feel at ease.,['Casual']
Voidigo,Voidigo is a chaotic and colorful roguelite shooter with a focus on dynamic and unique boss fights. Equip the many weapons and powerups to fight back the void corruption throughout the worlds. Hunt or be hunted.,"['Action', 'Adventure', 'Indie', 'Early Access']"
Chop Goblins,"Pursue the malevolent Chop Goblins through time, and foil them with devastating weapons, in this bite-sized FPS from the creator of DUSK, Iron Lung, and Squirrel Stapler","['Action', 'Indie']"
Hello Charlotte EP3: Childhood's End,"""All ended well.There was nothing to grieve about."" A farewell, and a greeting.","['Indie', 'RPG']"
I MAED A GAM3 W1TH Z0MB1ES 1N IT!!!1,A top down twin stick zombie slaying shooter that you are sure to play again and again!,"['Action', 'Casual', 'Free to Play', 'Indie']"
Don't Escape: 4 Days to Survive,Survive through four days at the end of the world in this post-apocalyptic point-and-click thriller where your choices could keep you alive... or not.,"['Adventure', 'Indie']"
A Space For The Unbound - Prologue,"Prologue chapter of A Space For The Unbound, an upcoming slice-of-life adventure game with beautiful pixelart set in the late 90s rural Indonesia that tells a story about overcoming anxiety, depression, and the relationship between a boy and a girl with supernatural powers","['Adventure', 'Indie']"
Beacon Pines,"Beacon Pines is a cute and creepy adventure set within a mysterious book. Sneak out late, make new friends, uncover hidden truths, and collect words that will change the course of fate!","['Adventure', 'Casual', 'Indie']"
Jerma's Big Adventure,"Oh no! Jerma985 has fallen into a spooky cavern filled with ROBOT dinosaurs and EVIL warlocks. In this wacky action-platformer, fight to escape the treacherous cavern while a live studio chat cheers you on!","['Action', 'Adventure', 'Free to Play', 'Indie']"
永冻之壳 The Shell of Permafrost,"A girl, draped in mystery and chased by an evil fate, escapes from a frozen land. Now, a year later, with her memory gradually returning, she is forced to make an important decision.","['Casual', 'Free to Play', 'Indie', 'RPG']"
POPGOES Arcade,"Battle the corrupt animals of the forest, collect valuable items and abilities, and save the world, TWICE, in this retro-styled RPG adventure! As an official spinoff of the Five Nights at Freddy's horror game series, you can expect familiar characters, loads of secrets, and maybe some scares...",['RPG']
9-nine-:Episode 2,It's Sora and Kakeru's time to shine when the action heats up in 9-nine-: Episode 2. Can they take down the murderer before it's too late for them both?,"['Action', 'Casual', 'Simulation']"
Zeepkist,Welcome to Zeepkist! You race soapboxes down hills!,"['Action', 'Indie', 'Racing', 'Sports', 'Early Access']"
Resonance of the Ocean,Pick up what the waves wash ashore to make instruments. Use those instruments to answer the echoes heard from beyond the ocean.,"['Adventure', 'Casual', 'Indie']"
Tinykin,Catch hundreds of tinykin and use their unique powers to bring Milo back to his home planet and back to normal size!,"['Action', 'Adventure', 'Indie']"
Aokana - Four Rhythms Across the Blue - EXTRA1,Aokana - EXTRA1 is the official Mashiro afterstory for Aokana.Experience even more Aokana in 1440p!,"['Adventure', 'Casual']"
Pajama Sam: No Need to Hide When It's Dark Outside,"There's no reason to be afraid of the dark. Fed up with his fear of the dark, Sam transforms himself into Pajama Sam - world's youngest superhero and resolves to confront Darkness! With help from King the mine car, Otto the boat, and a host of fascinating characters.","['Adventure', 'Casual']"
Perfect Gold - Yuri Visual Novel,"In this short, coming-of-age yuri visual novel, play as Marion LaRue and Audrey Clary as they explore the magical city of Castlecoast and get a second chance at love and friendship.","['Adventure', 'Casual', 'Indie']"
Touhou Hero of Ice Fairy,"Touhou Hero of Ice Fairy is an indie game developed by GAMEPULSE.Step into the shoes of Cirno, the Hero of Ice, as she embarks on a journey against evil, liberating Gensokyo and saving her dear princess.","['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']"
Dogs Organized Neatly,In this 2D puzzle game you have the responsibility to arrange lovely doggos in a way that fits the grid. Dogs Organized Neatly comes with 80 brand-new hand-crafted levels and a whole bunch of dogs in all shapes and sizes.,"['Casual', 'Indie']"
The Procession to Calvary,"Pilfer from pirates, conspire with cardinals and perform miracles with an incompetent magician. The Procession to Calvary is a Pythonesque adventure game made from Renaissance paintings, and a spiritual successor to the critically acclaimed Four Last Things.","['Adventure', 'Indie']"
9-nine-:Episode 4,"Kakeru and his friends uncover the identity of the mastermind behind the incidents in Shiromitsugawa as the story shifts to focus on Noa Yuuki, a girl with a strong sense of justice. What secrets will they uncover about the Artifacts and the bonds that ties them all together?",['Casual']
The Test: Secrets of the Soul,"You will answer a series of questions that will reveal things from deep within. Some will be uncomfortable, but with great knowledge comes great sacrifice. Can you make it all the way through The Test, and are you SURE you want the answers you seek? For it is time to unlock ""Secrets of the Soul...""","['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG', 'Simulation']"
Little Busters! English Edition,"Capturing the hearts of countless fans since 2007, Little Busters! is an emotional visual novel from Key, the minds behind Angel Beats! and CLANNAD. This special English release supports touch controls and dynamic switching between English and Japanese text, and is in HD for the first time on PC.","['Adventure', 'Casual', 'Simulation']"
Letters From a Rainy Day -Oceans and Lace-,"Luscious artwork brings the beautiful streets of Kamakura in June to life in this bittersweet sapphic story of a romance that begins with blackmail... This is a yuri adventure game based on the theme of love between girls at a lady's school in Kamakura, Japan.",['Adventure']
Twinsen's Little Big Adventure 2 Classic,"Twinsen's Little Big Adventure 2 Classic is a retro action-adventure game originally released in 1997. After saving the world from the evilish Doctor Funfrock, Twinsen is now ready to face a new threat coming from outer space.","['Action', 'Adventure', 'RPG']"
Toree 2,"A bite-sized 3D Platformer sequel with more focus on the things people enjoyed in the first game like fast gameplay, flow focused levels and cute costumes (two this time).","['Action', 'Casual', 'Indie']"
Sizeable,Sizeable is a relaxing and peacefull puzzle/exploration game! Shrink and grow your way through small dioramas in search of hidden objects!,"['Casual', 'Indie']"
Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,"Higurashi When They Cry is a sound novel. The music, backgrounds and characters work together to create a world that is the stage of a novel for the user to read. They laugh and cry and get angry. The user takes the point of view of the protagonist to experience the story.",['Adventure']
The Legend of Heroes: Trails from Zero,"When Lloyd Bannings is assigned to Crossbell's Special Support Section, he and his new teammates must prove themselves as they fight to overcome the injustice of a city gripped by corruption.",['RPG']
Sudocats,"Sudoku for cat people. Cats are wonderful creatures but you better not put them together without proper introduction. So, plan ahead to display them in the right order so they get along!",['Casual']
BROK the InvestiGator,"The very first PUNCH & CLICK! Brok is an innovative adventure mixed with beat 'em up and RPG elements. In a grim world where animals have replaced mankind, what kind of detective will you be?","['Action', 'Adventure', 'Indie', 'RPG']"
Making*Lovers,"Making*Lovers A story about the way love can bloom after dating begins. The focus in Making*Lovers is on the things that come after a relationship's beginning. With ""start dating, then fall in love"" as the concept, you will work towards the moment when love truly blooms.","['Casual', 'Simulation']"
Meg's Monster,"Take control of the Underworld’s grumpiest ghoul to help a lost little girl find her way home in this creepy-cute indie adventure. Just be warned: if she cries, the whole world dies.","['Adventure', 'Indie', 'RPG']"
Mhakna Gramura and Fairy Bell,"Written in the style of a children’s book, Mhakna Gramura and Fairy Bell is a Cinematic Novel about two children named Mhakna and Sebiarno that escape the wretched Mullbear Orphanage with the help of a Fairy named Bell, who promises eternal happiness as long as they agree to never grow up.","['Casual', 'Indie']"
The Advisor - Episode 1: Royal Pain,"The Advisor Series is a player-driven narrative where your choices & decisions, both in the game, and out of the game, determine how future episodes unfold. Play the role of villain protagonist Magnus the Magician, as he wreaks havoc across the land, one well-placed fireball at a time!","['Adventure', 'RPG', 'Simulation']"
Perspective,Perspective is an experimental platformer. The player avatar moves in a 2D space that transforms when the player changes perspective in 3D space. The player needs to use this mechanic navigate the 2D avatar to a goal in order to progress from level to level.,['Free to Play']
I'm on Observation Duty 4,A spot the difference -type of puzzle horror game about monitoring live surveillance camera footage and spotting anomalies. Anomalies range from furniture movement to intruders. Fix anomalies by filing a reports. You will need sharp eyes and good memory. The goal is to survive the entire night.,['Indie']
Vibrant Venture,"Vibrant Venture is a singleplayer 2D adventure platformer game featuring a quirky cast of characters! The game features four playable characters with multiple unique abilities that can be combined for extremely versatile, fluid and fun movement!","['Adventure', 'Indie', 'Early Access']"
The Lost Dachshund,"Your granddaughter is coming over on the ferry from the mainland. You have promised her a puppy for her birthday– a dachshund named “Peanut”. But Peanut has escaped her pen and is free on the island. You must traverse the island and rescue the mischievous puppy, before your granddaughter arrives.","['Adventure', 'Casual', 'Free to Play', 'Indie']"
Shogun Showdown: Prologue,"Fight the army of the Shogun in this free version of Shogun Showdown, a turn-based combat game with rogue-like and deck-building elements. Position yourself and attack at the right time, upgrade your tiles and combo them to get ready to face the Shogun!","['Free to Play', 'RPG', 'Strategy']"
Terraria,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!","['Action', 'Adventure', 'Indie', 'RPG']"
Left 4 Dead 2,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",['Action']
Euro Truck Simulator 2,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.","['Indie', 'Simulation']"
Hollow Knight,"Forge your own path in Hollow Knight! An epic action adventure through a vast ruined kingdom of insects and heroes. Explore twisting caverns, battle tainted creatures and befriend bizarre bugs, all in a classic, hand-drawn 2D style.","['Action', 'Adventure', 'Indie']"
Bloons TD 6,The Bloons are back and better than ever! Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available.,['Strategy']
The Binding of Isaac: Rebirth,"The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.",['Action']
Deep Rock Galactic,"Deep Rock Galactic is a 1-4 player co-op FPS featuring badass space Dwarves, 100% destructible environments, procedurally-generated caves, and endless hordes of alien monsters.",['Action']
BeamNG.drive,A dynamic soft-body physics vehicle simulator capable of doing just about anything.,"['Racing', 'Simulation', 'Early Access']"
Counter-Strike,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,['Action']
